,title,authors,venue,year
A_2452,temporal conditions and integrity constraints in active database systems,"ouri wolfson , a. prasad sistla",sigmod conference,1995
A_2453,the rubicon of smart data,roger king,vldb,2002
A_2454,practical lessons in supporting large-scale computational science,"terence critchlow , ron musick",sigmod record,1999
A_2455,on database theory and xml,dan suciu,sigmod record,2001
A_2456,seeking the truth about ad hoc join costs,"amit shukla , miron livny , michael j. carey , laura m. haas",vldb j.,1997
A_2457,a framework for clustering evolving data streams,"philip s. yu , charu c. aggarwal , jiawei han , jianyong wang",vldb,2003
A_2458,"title , foreword , special issue editorial",?,vldb j.,1994
A_2459,vipas : virtual link powered authority search in the web,"ming-syan chen , chi-chun lin",vldb,2003
A_2460,very large databases in a commercial application environment,karl-heinz hess,vldb,1996
A_2461,mil primitives for querying a fragmented world,"martin l. kersten , peter a. boncz",vldb j.,1999
A_2462,efficiently publishing relational data as xml documents,"bruce g. lindsay , hamid pirahesh , berthold reinwald , michael j. carey , rimon barr , jayavel shanmugasundaram , eugene j. shekita",vldb j.,2001
A_2463,"enterprise objects framework , a second generation object-relational enabler",charly kleissner,sigmod conference,1995
A_2464,enabling dynamic content caching for database-driven web sites,"qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan",sigmod conference,2001
A_2465,memory management during run generation in external sorting,"goetz graefe , per-åke larson",sigmod conference,1998
A_2466,dynamic resource brokering for multi-user query execution,"diane l. davison , goetz graefe",sigmod conference,1995
A_2467,acdn : a content delivery network for applications,"michael rabinovich , pradnya karbhari , fred douglis , zhen xiao",sigmod conference,2002
A_2468,updates for structure indexes,"jeffrey f. naughton , pradeep shenoy , raghav kaushik , philip bohannon",vldb,2002
A_2469,an efficient and resilient approach to filtering and disseminating streaming data,"krithi ramamritham , shyamshankar dharmarajan , shetal shah",vldb,2003
A_2470,editorial,richard t. snodgrass,acm trans . database syst .,2001
A_2471,shooting stars in the sky : an online algorithm for skyline queries,"donald kossmann , frank ramsak , steffen rost",vldb,2002
A_2472,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"michael stonebraker , nicholas j. belkin , gio wiederhold , erich j. neuhold , leonard j. seligman",vldb,1995
A_2473,"research and practice in federated information systems , report of the efis ' 2000 international workshop","ralf-detlef kutsche , geert-jan houben , mark roantree , bodo rieger , wilhelm hasselbring , kazimierz subieta , willem-jan van den heuvel",sigmod record,2000
A_2474,on the semantics of `` now '' in databases,"christian s. jensen , tomás isakowitz , richard t. snodgrass , curtis e. dyreson , james clifford",acm trans . database syst .,1997
A_2475,efficient numerical error bounding for replicated network services,"haifeng yu , amin vahdat",vldb,2000
A_2476,extracting large-scale knowledge bases from the web,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",vldb,1999
A_2477,the microsoft database research group,"roger s. barga , david b. lomet , per-åke larson , surajit chaudhuri , vivek r. narasayya",sigmod record,1998
A_2478,database research : achievements and opportunities into the 21st century,"jeffrey d. ullman , abraham silberschatz , michael stonebraker",sigmod record,1996
A_2479,flexible and scalable digital library search,"peter m. g. apers , milan petkovic , roelof van zwol , menzo windhouwer , henk ernst blok , martin l. kersten , willem jonker",vldb,2001
A_2480,databases on the web : technologies for federation architectures and case studies ( tutorial ),ralf kramer,sigmod conference,1997
A_2481,editor 's notes,michael j. franklin,sigmod record,1997
A_2482,self-organizing data sharing communities with sagres,"igor tatarinov , wai tak theodora yeung , shiori betzler , jing su , jayant madhavan , rachel pottinger , alon y. levy , ewa jaslikowska , stefan saroiu , qiong chen , zachary g. ives",sigmod conference,2000
A_2483,"turmoil at nasa , and numerous funding announcements",xiaolei qian,sigmod record,1995
A_2484,self-serv : a platform for rapid composition of web services in a peer-to-peer environment,"eileen oi-yan mak , quan z. sheng , boualem benatallah , marlon dumas",vldb,2002
A_2485,a componentized architecture for dynamic electronic markets,"israel ben-shaul , benny reich",sigmod record,1998
A_2486,database systems management and oracle8,c. gregory doherty,sigmod conference,1998
A_2487,on computing correlated aggregates over continual data streams,"divesh srivastava , flip korn , johannes gehrke",sigmod conference,2001
A_2488,storing semistructured data with stored,"alin deutsch , mary f. fernandez , dan suciu",sigmod conference,1999
A_2489,a pictorial query language for querying geographic databases using positional and olap operators,"elaheh pourabbas , maurizio rafanelli",sigmod record,2002
A_2490,an efficient cost-driven index selection tool for microsoft sql server,"surajit chaudhuri , vivek r. narasayya",vldb,1997
A_2491,sigmod program review,richard t. snodgrass,sigmod record,2000
A_2492,cache coherency in oracle parallel server,boris klots,vldb,1996
A_2493,"the new locking , logging , and recovery architecture of microsoft sql server 7.0",david campbell,vldb,1999
A_2494,exact : an extensible approach to active object-oriented databases,"arturo jaime , oscar díaz",vldb j.,1997
A_2495,optimizing queries across diverse data sources,"edward l. wimmers , donald kossmann , jun yang , laura m. haas",vldb,1997
A_2496,editor 's notes,ling liu,sigmod record,2003
A_2497,unisql/x unified relational and object-oriented database system,won kim,sigmod conference,1994
A_2498,order-of-magnitude advantage of tpc-c though massive parallelism,charles levine,sigmod conference,1995
A_2499,exploiting versions for handling updates in broadcast disks,"evaggelia pitoura , panos k. chrysanthis",vldb,1999
A_2500,an overview of db2 parallel edition,"walter g. wilson , ambuj goyal , sriram padmanabhan , gilles fecteau , anant jhingran , chaitanya k. baru , hui-i hsiao",sigmod conference,1995
A_2501,on xml and databases : where 's the beef ? ( panel abstract ),michael j. carey,sigmod conference,2000
A_2502,declarative specification of web sites with strudel,"alon y. levy , dan suciu , daniela florescu , mary f. fernandez",vldb j.,2000
A_2503,parallel mining algorithms for generalized association rules with classification hierarchy,"masaru kitsuregawa , takahiko shintani",sigmod conference,1998
A_2504,the database research group at eth zurich,"hans-jörg schek , moira c. norrie , gerhard weikum , stephen blott",sigmod record,1994
A_2505,extended ehemeral logging : log storage management for applications with long lived transactions,"john s. keen , william j. dally",acm trans . database syst .,1997
A_2506,who needs xml databases ?,sophie cluet,vldb,2003
A_2507,conceptual model of web service reputation,"munindar p. singh , e. michael maximilien",sigmod record,2002
A_2508,tods reviewers,richard t. snodgrass,sigmod record,2003
A_2509,editor 's notes,michael j. franklin,sigmod record,1999
A_2510,sting : a statistical information grid approach to spatial data mining,"wei wang , richard r. muntz , jiong yang",vldb,1997
A_2511,re-tree : an efficient index structure for regular expressions,"chee yong chan , minos n. garofalakis , rajeev rastogi",vldb j.,2003
A_2512,phoenix : making applications robust,"david b. lomet , roger s. barga",sigmod conference,1999
A_2513,"data management : lasting impact of the wild wild , wild , web",reed m. meseck,sigmod conference,2001
A_2514,xquery formal semantics : state and challenges,peter fankhauser,sigmod record,2001
A_2515,extending an ordbms : the statemachine module,"wolfgang mahnke , christian mathis , hans-peter steiert",vldb,2002
A_2516,contorting high dimensional data for efficient main memory processing,"beng chin ooi , bin cui , kian-lee tan , jianwen su",sigmod conference,2003
A_2517,genesys : a system for efficient spatial query processing,"thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger",sigmod conference,1994
A_2518,storage and retrieval of xml data using relational databases,"surajit chaudhuri , kyuseok shim",vldb,2001
A_2519,asset : a system for supporting extended transactions,"narain h. gehani , krithi ramamritham , alexandros biliris , h. v. jagadish , shaul dar",sigmod conference,1994
A_2520,data mining with optimized two-dimensional association rules,"takeshi tokuyama , yasuhiko morimoto , shinichi morishita , takeshi fukuda",acm trans . database syst .,2001
A_2521,towards a cooperative transaction model - the cooperative activity model,"thomas tesch , peter muth , wolfgang klas , marek rusinkiewicz , jürgen wäsch",vldb,1995
A_2522,an active functionality service for e-business applications,"mariano cilia , alejandro p. buchmann",sigmod record,2002
A_2523,integrating the ub-tree into a database system kernel,"robert fenk , rudolf bayer , volker markl , martin zirkel , frank ramsak , klaus elhardt",vldb,2000
A_2524,indexing multimedia databases ( tutorial ),christos faloutsos,sigmod conference,1995
A_2525,estimating page fetches for index scans with finite lru buffers,"arun n. swami , k. bernhard schiefer",sigmod conference,1994
A_2526,similarity based retrieval of pictures using indices on spatial relationships,"chengwen liu , a. prasad sistla , clement t. yu , king liu",vldb,1995
A_2527,monitoring business processes through event correlation based on dependency model,"tali yatzkar-haham , asaf adi , david botzer , opher etzion",sigmod conference,2001
A_2528,a survey of logical models for olap databases,"timos k. sellis , panos vassiliadis",sigmod record,1999
A_2529,transaction chopping : algorithms and performance studies,"dennis shasha , eric simon , patrick valduriez , françois llirbat",acm trans . database syst .,1995
A_2530,of objects and databases : a decade of turmoil,"david j. dewitt , michael j. carey",vldb,1996
A_2531,scheduling for shared window joins over data streams,"michael j. franklin , moustafa a. hammad , ahmed k. elmagarmid , walid g. aref",vldb,2003
A_2532,optimizing queries on compressed bitmaps,"sihem amer-yahia , theodore johnson",vldb,2000
A_2533,report on the 13th brazilian symposium on database systems ( sbbd ' 98 ),"claudia bauzer medeiros , mario a. nascimento",sigmod record,1999
A_2534,memex : a browsing assistant for collaborative archiving and mining of surf trails,"mallela subramanyam , mitul tiwari , sandeep srivastava , soumen chakrabarti",vldb,2000
A_2535,microsoft site server ( commerce edition ),bassel ojjeh,sigmod conference,1999
A_2536,schemasql : an extension to sql for multidatabase interoperability,"fereidoon sadri , laks v. s. lakshmanan , subbu n. subramanian",acm trans . database syst .,2001
A_2537,data model for extensible support of explicit relationships in design databases,"joan peckham , bonnie mackellar , michael doherty",vldb j.,1995
A_2538,coma - a system for flexible combination of schema matching approaches,"erhard rahm , hong hai do",vldb,2002
A_2539,webview materialization,"nick roussopoulos , alexandros labrinidis",sigmod conference,2000
